,brands,product_name,categories,countries,food_groups_tags,food_groups,ingredients_text,category_name,country,processed_ingredients,health_label
11,Terra Delyssa,Huile d'olive vierge extra (Biologique),"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Matières grasses, Matières grasses végétales, Produits de l'olivier, Huiles, Huiles d'olive, Huiles d'olive vierges extra, Huiles d'olive de Tunisie, Huiles d'olive vierges","Canada,France","['en:fats-and-sauces', 'en:fats']",en:fats,Huile d'olive vierge Extra Biologique première pression à froid,Plant-based foods and beverages,canada,huile d'olive vierge extra biologique première pression à froid,healthy
12,Clément Faugier,Crème de Marrons de L'Ardèche,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Produits à tartiner, Fruits à coques et dérivés, Pâtes à tartiner végétales, Fruits à coques, Châtaignes, Crèmes de marrons, Châtaigne d'Ardèche","Canada,France","['en:salty-snacks', 'en:nuts']",en:nuts,"Châtaignes (50%), sucre, marrons glacés, sirop de glucose, eau, extrait de vanille Madagascar",Plant-based foods and beverages,canada,"châtaignes (50%), sucre, marrons glacés, sirop de glucose, eau, extrait de vanille madagascar",healthy
13,Fleurs des Champs,Maïs,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Conserves, Céréales et pommes de terre, Graines, Légumes et dérivés, Aliments à base de plantes en conserve, Céréales et dérivés, Légumes en conserve, Céréales en grains, Pâtes alimentaires, Maïs, Céréales en conserve, Maïs en conserve, Maïs doux en conserve, Maïs en grain, en:groceries","Canada,France","['en:cereals-and-potatoes', 'en:cereals']",en:cereals,"maïs, eau, sel",Plant-based foods and beverages,canada,"maïs, eau, sel",healthy
14,Lustucru,,"Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Seeds, Cereals and their products, Cereal grains, Rices, Long grain rices, Parboiled rices","Kanada, Frankreich, Germany","['en:cereals-and-potatoes', 'en:cereals']",en:cereals,Parboiled long grain rice,Plant-based foods and beverages,canada,parboiled long grain rice,healthy
15,"Refresh,UFC",Coconut Water,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based beverages,Non-alcoholic beverages,Coconut waters","Canada,France,Germany,New Zealand,Singapore,United Kingdom","['en:beverages', 'en:unsweetened-beverages']",en:unsweetened-beverages,100% natural coconut water.,Plant-based foods and beverages,canada,100% natural coconut water.,healthy
16,Nature's Path Organic - Kirkland,Ancient Grains Probiotic Granola,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Canada,United States","['en:cereals-and-potatoes', 'en:breakfast-cereals']",en:breakfast-cereals,"Whole grain rolled oats*, cane sugar*, soy oil*, khorasan wheat, rolled spelt*, almonds, inulin* rice starch*, rolled quinoa*, rolled amaranth*, sea salt, molasses*, cinnamon*, vanilla flavor*, Probiotics (Bacillus coagulans GBI-30 6086), tocopherols (vitamin E). *ORGANIC Contains soy, almonds and wheat Produced in a facility that uses peanuts and other tree nuts.",Plant-based foods and beverages,canada,"whole grain rolled oats*, cane sugar*, soy oil*, khorasan wheat, rolled spelt*, almonds, inulin* rice starch*, rolled quinoa*, rolled amaranth*, sea salt, molasses*, cinnamon*, vanilla flavor*, probiotics (bacillus coagulans gbi-30 6086), tocopherols (vitamin e). *organic contains soy, almonds and wheat produced in a facility that uses peanuts and other tree nuts.",healthy
17,Quaker Oats,Quick 1-minute Oats imp,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes,Rolled flakes,Rolled oats","Canada,France,United States, World","['en:cereals-and-potatoes', 'en:breakfast-cereals']",en:breakfast-cereals,"whole grain rolled oats,",Plant-based foods and beverages,canada,"whole grain rolled oats, ",healthy
18,Earth's Own,Oat Original,"Plant-based foods and beverages, Beverages, Plant-based foods, Cereals and potatoes, Dairy substitutes, Cereals and their products, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Cereal-based drinks, Oat-based drinks","Canada,United States, World","['en:beverages', 'en:plant-based-milk-substitutes']",en:plant-based-milk-substitutes,"Oat base (filtered water, oats), Sunflower oil, Sea salt, Gellan gum, Locust bean gum, Amylase, Vitamins and minerals (tricalcium phosphate, calcium carbonate, vitamin A palmitate, vitamin D2, riboflavin, vitamin B12, zinc gluconate)",Plant-based foods and beverages,canada,"oat base (filtered water, oats), sunflower oil, sea salt, gellan gum, locust bean gum, amylase, vitamins and minerals (tricalcium phosphate, calcium carbonate, vitamin a palmitate, vitamin d2, riboflavin, vitamin b12, zinc gluconate)",healthy
19,"Post, Shredded Wheat",Spoon Size Shredded Wheat & Bran - Canada,"Plant-based foods and beverages, Plant-based foods, Breakfasts, Cereals and potatoes, Cereals and their products, Breakfast cereals, extruded cereals","Canada, World","['en:cereals-and-potatoes', 'en:breakfast-cereals']",en:breakfast-cereals,"Whole grain wheat, Wheat bran, BHT",Plant-based foods and beverages,canada,"whole grain wheat, wheat bran, bht",not healthy
20,"Aldi,Roland Mills Ost",Farine de Blé type 45,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Farines,Farines de céréales,Farines de blé,Farines de blé type T45","Canada,France","['en:cereals-and-potatoes', 'en:cereals']",en:cereals,Farine de blé.,Plant-based foods and beverages,canada,farine de blé.,healthy
21,Lustucru,Riz long grain incollable,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Graines, Céréales et dérivés, Céréales en grains, Riz, Riz long grain","Canada,France,Suisse","['en:cereals-and-potatoes', 'en:cereals']",en:cereals,Riz long grain étuvé.,Plant-based foods and beverages,canada,riz long grain étuvé.,healthy
22,"innofoods,Inno Foods",Almond Fruit Crunch,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals","Canada,World","['en:cereals-and-potatoes', 'en:breakfast-cereals']",en:breakfast-cereals,"Almonds, Sugars (cane sugar, maple syrup, coconut sugar), Coconut, Gluten free oats, Corn meal, Pumpkin seeds, Dried cherries (tart cherries, cane sugar, sunflower oil [less than 0.5%]), Sunflower seeds, Coconut oil, Coconut butter, Dried cranberries (cranberries, sugar, sunflower oil [less than 1%]), Amaranth flour, Vanilla extract, Sea salt, Vitamin E (mixed tocopherols) added to preserve freshness. Contains: Almonds. May Contain: Soy. Packed in a facility that uses tree nuts.",Plant-based foods and beverages,canada,"almonds, sugars (cane sugar, maple syrup, coconut sugar), coconut, gluten free oats, corn meal, pumpkin seeds, dried cherries (tart cherries, cane sugar, sunflower oil [less than 0.5%]), sunflower seeds, coconut oil, coconut butter, dried cranberries (cranberries, sugar, sunflower oil [less than 1%]), amaranth flour, vanilla extract, sea salt, vitamin e (mixed tocopherols) added to preserve freshness. contains: almonds. may contain: soy. packed in a facility that uses tree nuts.",healthy
23,"Fleurs des Champs,Aldi",Ratatouille,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Conserves, Plats préparés, Légumes préparés, Plats préparés en conserve, Ratatouilles","France, en:ca","['en:composite-foods', 'en:one-dish-meals']",en:one-dish-meals,"Légumes (courgettes, tomates, aubergines, oignons, poivrons), double concentré de tomates, huile de colza, sucre, amidon transformé, sel, jus concentré de citron, arôme,",Plant-based foods and beverages,canada,"légumes (courgettes, tomates, aubergines, oignons, poivrons), double concentré de tomates, huile de colza, sucre, amidon transformé, sel, jus concentré de citron, arôme, ",healthy
24,"Ducros,McCormick France",Persil,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Condiments, Plantes condimentaires, Plantes aromatiques, Epices, en:aromatic-herbs, Persil, en:groceries","France, en:ca",[],,Persil,Plant-based foods and beverages,canada,persil,healthy
25,Kraft,Crunchy croquant,"Plant-based foods and beverages, Plant-based foods, Legumes and their products, Spreads, Plant-based spreads, Oilseed purees, Legume butters, Peanut butters, Groceries, en:nut-butters","Canada,France,en:canada","['en:cereals-and-potatoes', 'en:legumes']",en:legumes,100% PEANUTS. CONTAINS: PEANUT. : % ARACHIDES CHOISIES CONTIENT : ARACHIDES.,Plant-based foods and beverages,canada,100% peanuts. contains: peanut. : % arachides choisies contient : arachides.,healthy
26,Kirkland Signature,Huile de coco vierge biologique,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Aceites y grasas,Grasas vegetales,Aceites vegetales,Aceites de frutas y semillas de frutas,Aceites de coco,en:Virgin coconut oils","Canadá,Francia,Estados Unidos","['en:fats-and-sauces', 'en:fats']",en:fats,Organic virgin coconut oil.,Plant-based foods and beverages,canada,organic virgin coconut oil.,healthy
